题号,题干,A,B,C,D,E,答案,难度,题型
425,哪个图不属于UML的交互图？,顺序图,通信图,定时图,类图,,D,UML,单选题
426,在包图中，如果包A要访问包B中的元素，则两个包之间存在什么关系？,泛化关系,依赖关系,实现关系,关联关系,,B,UML,单选题
427,在UML中，`1..*`的多重性表示？,零个或一个,只有一个,零个或多个,一个或多个,,D,UML,单选题
428,在状态图中，`[监护条件]`的作用是？,触发状态转移的事件,状态转移时执行的动作,描述状态转移是否可以发生的前提,表示一个状态的名称,,C,UML,单选题
429,在顺序图中，一个对象生命周期中处于活动状态的时间段用什么表示？,生命线,消息,激活,对象框,,C,UML,单选题
430,通信图（协作图）与顺序图相比，更强调什么？,消息传递的时间顺序,对象的生命周期,参与交互的对象的组织和关系,系统的物理部署,,C,UML,单选题
431,活动图中的同步条（并发）用于？,表示一个活动的结束,表示一个条件判断,将一个活动分解成多个并发的动作，或将多个并发活动合并,表示活动的负责人,,C,UML,单选题
432,顺序图中的同步消息表示发送者会？,发送后立即继续执行,暂停活动，等待接收者的回应,创建一个新线程来发送消息,消息永远不会返回,,B,UML,单选题
433,在类图中，表示可见性的符号“#”代表？,公有 (public),私有 (private),保护 (protected),包可见 (package),,C,UML,单选题
434,在UML中，顺序图和哪种图被认为是同构的，可以相互转换？,活动图,状态图,通信图,类图,,C,UML,单选题
435,活动图中的“泳道”用于做什么？,表示活动的开始和结束,表示并发执行的活动,表示条件判断,明确表示哪些活动由哪些对象负责,,D,UML,单选题
436,汽车和引擎的关系是“整体”与“部分”，且引擎可以独立于汽车存在，这属于哪种关系？,组合关系,聚合关系,依赖关系,实现关系,,B,UML,单选题
437,人与头的关系是“整体”与“部分”，且头不能独立于人存在，这属于哪种关系？,组合关系,聚合关系,关联关系,泛化关系,,A,UML,单选题
438,在UML中，类与接口之间的关系是？,泛化关系,依赖关系,关联关系,实现关系,,D,UML,单选题
439,哪种图是类图在某一时刻的一个实例？,用例图,顺序图,对象图,活动图,,C,UML,单选题
440,在UML中，从一个活动到另一个活动的控制流，用什么来表示？,状态图,顺序图,活动图,通信图,,C,UML,单选题
441,在包图中，包的访问权限`+`号代表什么？,私有访问,保护访问,公有访问,默认访问,,C,UML,单选题
442,在类图中，一个类拥有另一个类的实例作为其成员变量，这种关系是？,依赖,实现,关联,泛化,,C,UML,单选题
443,状态图中，从一个状态到自身的转移称为什么？,自动迁移,自身迁移,复合迁移,并发迁移,,B,UML,单选题
444,活动图和哪种传统图形工具在功能上类似？,数据流图,E-R图,程序流程图,N-S图,,C,UML,单选题
445,在顺序图中，`<<create>>`构造型的消息用于？,销毁对象,创建对象,同步调用,异步调用,,B,UML,单选题
446,下列哪个图不属于架构建模的范畴？,包图,组件图,部署图,状态图,,D,UML,单选题
447,如果一个对象在同一时刻可以处在多种状态，这种状态称为？,复合状态,并发状态,初始状态,终止状态,,B,UML,单选题
448,在UML图中，一个矩形框内有三栏，分别表示类名、属性和操作，这是什么图的元素？,对象图,类图,组件图,包图,,B,UML,单选题
449,一个包中的元素只能被同属于一个包的内含元素访问，这是什么访问权限？,Public,Private,Protected,Package,,B,UML,单选题
450,“向源程序中添加一些语句，以检查程序语句的执行、变量的变化等情况”的技术是？,静态结构分析,代码审查,程序插桩,回归测试,,C,软件测试,单选题
451,在软件测试中，QA通常指代哪个角色？,产品经理,开发工程师,测试工程师,项目经理,,C,软件测试,单选题
452,下列哪个不是软件测试的基本原则？,完全测试是可能的,测试中存在风险,软件测试只能表明缺陷的存在,尽早并不断地进行测试,,A,软件测试,单选题
453,根据正交表的表示形式 L₈(2⁷)，该表有多少行？,8,2,7,16,,A,软件测试,单选题
454,在因果图中，表示“或”关系的符号是？,~,V,^,E,,B,软件测试,单选题
455,在逻辑覆盖中，满足了条件组合覆盖，是否一定满足判定覆盖？,是,否,不一定,看情况,,A,软件测试,单选题
456,使用Postman或JMeter等工具进行接口测试，主要发生在哪个测试阶段？,单元测试,集成测试,系统测试,验收测试,,B,软件测试,单选题
457,在V模型中，与详细设计相对应的测试阶段是什么？,单元测试,集成测试,系统测试,验收测试,,A,软件测试,单选题
458,下列哪个是动态测试？,代码审查,走查,黑盒测试,静态结构分析,,C,软件测试,单选题
459,测试用例的设计应该由谁来完成？,开发工程师,产品经理,测试工程师,项目经理,,C,软件测试,单选题
460,在因果图中，表示“与”关系的符号是？,~,V,^,R,,C,软件测试,单选题
461,α测试由谁来执行？,最终用户在开发环境下,开发人员在开发环境下,内部人员在模拟环境下,最终用户在自己的实际环境中,,C,软件测试,单选题
462,对于一个有10个判定节点的程序流图，其环路复杂度是多少？,9,10,11,无法计算,,C,软件测试,单选题
463,在软件测试中，PM通常指代哪个角色？,产品经理,开发工程师,测试工程师,运维工程师,,A,软件测试,单选题
464,决策表通常由四部分组成，不包括以下哪个？,条件桩,条件项,动作桩,规则桩,,D,结构化分析,单选题
465,在测试“手机号输入框”时，输入“13800138000”、“1380013800”、“138001380000”，这主要运用了哪种测试方法？,等价类划分法,边界值分析法,因果图法,场景法,,B,软件测试,单选题
466,一个对象图与类图的主要区别在于，对象图不包含类的哪个部分？,类名,属性,操作,关系,,C,UML,单选题
467,在部署图中，节点之间的关联关系通常用什么来描述连接方式？,名称,角色,构造型,多重性,,C,UML,单选题
468,在通信图中，消息的先后顺序是如何表示的？,从上到下排列,从左到右排列,使用顺序号,无法表示,,C,UML,单选题
469,用于描述一个特定对象的所有可能状态及其引起状态转移的事件的图是？,活动图,状态图,顺序图,通信图,,B,UML,单选题
470,在类图中，表示聚合关系的符号是？,带空心菱形的直线,带实心菱形的直线,带空心三角形的直线,带箭头的虚线,,A,UML,单选题
471,“汽车”和“车轮”的关系通常被建模为？,泛化,组合,依赖,实现,,B,UML,单选题
472,UML静态建模对应于UML五视图中的哪个视图？,用户视图,结构视图,行为视图,环境视图,,B,UML,单选题
473,在类图中，用于描述父类与子类之间关系的术语是？,依赖关系,关联关系,泛化关系,实现关系,,C,UML,单选题
474,哪种图是类图在某一时刻的一个实例？,用例图,顺序图,对象图,活动图,,C,UML,单选题
475,在UML中，类与接口之间的关系是？,泛化关系,依赖关系,关联关系,实现关系,,D,UML,单选题
476,人与头的关系是“整体”与“部分”，且头不能独立于人存在，这属于哪种关系？,组合关系,聚合关系,关联关系,泛化关系,,A,UML,单选题
477,汽车和引擎的关系是“整体”与“部分”，且引擎可以独立于汽车存在，这属于哪种关系？,组合关系,聚合关系,依赖关系,实现关系,,B,UML,单选题
478,一个类的方法参数中使用了另一个类，这两个类之间最可能的关系是？,泛化关系,依赖关系,聚合关系,组合关系,,B,UML,单选题
479,在UML中，用于描述系统所需的硬件设备拓扑结构的图是？,组件图,部署图,类图,包图,,B,UML,单选题
480,在UML中，哪种图从宏观角度展示软件的架构，描述包与包之间的关系？,类图,组件图,部署图,包图,,D,UML,单选题
481,JUnit是常用于哪种语言的单元测试框架？,Python,C++,Java,JavaScript,,C,软件测试,单选题
482,在设计测试用例时，应避免的“杀虫剂现象”指的是什么？,测试用例越多越好,测试人员和开发人员关系紧张,反复使用相同的测试用例，导致其无法发现新的缺陷,测试过程中引入了新的错误,,C,软件测试,单选题
483,测试人员根据用例的基本流和备选流来设计测试用例的方法是？,决策表法,等价类划分法,边界值分析法,场景法,,D,软件测试,单选题
484,在逻辑覆盖中，要求每个判断中每个条件的所有可能取值组合至少执行一次，这是哪种覆盖？,判定覆盖,条件覆盖,判定-条件覆盖,条件组合覆盖,,D,软件测试,单选题
485,在软件测试流程中，紧随“设计测试用例”之后的步骤是？,分析测试需求,制定测试计划,执行测试,编写测试报告,,C,软件测试,单选题
486,下列哪项测试通常由开发人员自己完成？,系统测试,集成测试,单元测试,验收测试,,C,软件测试,单选题
487,强调测试活动独立性，并与其他流程并行进行的测试模型是？,V模型,W模型,H模型,瀑布模型,,C,软件测试,单选题
488,从自然语言书写的程序规格说明书中寻找因果关系，并产生判定表的黑盒测试方法是？,等价类划分法,边界值分析法,因果图法,场景法,,C,软件测试,单选题
489,在等价类划分法中，`E`代表有效等价类，`U`代表什么？,未知等价类,用户等价类,无效等价类,单元等价类,,C,软件测试,单选题
490,“向源程序中添加一些语句，以检查程序语句的执行、变量的变化等情况”的技术是？,静态结构分析,代码审查,程序插桩,回归测试,,C,软件测试,单选题
491,在V模型中，与“用户需求”相对应的测试阶段是？,单元测试,集成测试,系统测试,验收测试,,D,软件测试,单选题
492,在黑盒测试方法中，对于多因素、多水平的组合测试，哪种方法效率最高？,因果图法,边界值分析法,正交实验法,等价类划分法,,C,软件测试,单选题
493,在基本路径测试中，流图的环路复杂度V(G)等于？,边的数量 - 节点的数量,节点的数量 - 边的数量 + 2,边的数量 - 节点的数量 + 2,判定节点的数量 - 1,,C,软件测试,单选题
494,桌面检查、代码审查和走查属于哪种测试方法？,基本路径测试,逻辑覆盖,代码检查法,程序插桩,,C,软件测试,单选题
495,在软件测试中，RD通常指代哪个角色？,产品经理,开发工程师,测试工程师,运维工程师,,B,软件测试,单选题
496,下列哪个不是软件测试的基本原则？,完全测试是可能的,测试中存在风险,软件测试只能表明缺陷的存在,尽早并不断地进行测试,,A,软件测试,单选题
497,“向源程序中添加一些语句，以检查程序语句的执行、变量的变化等情况”的技术是？,静态结构分析,代码审查,程序插桩,回归测试,,C,软件测试,单选题
498,在V模型中，与“用户需求”相对应的测试阶段是？,单元测试,集成测试,系统测试,验收测试,,D,软件测试,单选题
499,在黑盒测试方法中，对于多因素、多水平的组合测试，哪种方法效率最高？,因果图法,边界值分析法,正交实验法,等价类划分法,,C,软件测试,单选题
500,在基本路径测试中，流图的环路复杂度V(G)等于？,边的数量 - 节点的数量,节点的数量 - 边的数量 + 2,边的数量 - 节点的数量 + 2,判定节点的数量 - 1,,C,软件测试,单选题
501,在V模型中，与详细设计相对应的测试阶段是什么？,单元测试,集成测试,系统测试,验收测试,,A,软件测试,单选题
502,α测试由谁来执行？,最终用户在开发环境下,开发人员在开发环境下,内部人员在模拟环境下,最终用户在自己的实际环境中,,C,软件测试,单选题
503,在因果图中，表示“与”关系的符号是？,~,V,^,R,,C,软件测试,单选题
504,测试用例的设计应该由谁来完成？,开发工程师,产品经理,测试工程师,项目经理,,C,软件测试,单选题
505,下列哪个是动态测试？,代码审查,走查,黑盒测试,静态结构分析,,C,软件测试,单选题
506,在逻辑覆盖中，满足了条件组合覆盖，是否一定满足判定覆盖？,是,否,不一定,看情况,,A,软件测试,单选题
507,根据正交表的表示形式 L₈(2⁷)，该表有多少行？,8,2,7,16,,A,软件测试,单选题
508,在因果图中，表示“或”关系的符号是？,~,V,^,E,,B,软件测试,单选题
509,对于一个有10个判定节点的程序流图，其环路复杂度是多少？,9,10,11,无法计算,,C,软件测试,单选题
510,使用Postman或JMeter等工具进行接口测试，主要发生在哪个测试阶段？,单元测试,集成测试,系统测试,验收测试,,B,软件测试,单选题
511,将所有模块按照总体设计的要求组装成为子系统或系统进行的测试是？,单元测试,集成测试,系统测试,验收测试,,B,软件测试,单选题
512,在测试用例的设计中，应该包括输入数据和什么？,实际输出结果,预期的输出结果,测试人员姓名,代码行号,,B,软件测试,单选题
513,覆盖被测试程序中所有可能的路径的白盒测试方法是？,语句覆盖,判定覆盖,条件组合覆盖,路径覆盖,,D,软件测试,单选题
514,软件测试的目的是什么？,证明软件没有错误,发现软件中的缺陷,确保软件完全正确,提高软件开发速度,,B,软件测试,单选题
515,下列哪种测试方法把程序看作一个透明的盒子？,黑盒测试,白盒测试,灰盒测试,功能测试,,B,软件测试,单选题
516,单元测试的主要测试对象是什么？,整个系统,软件接口,软件的最小单位（方法）,用户需求,,C,软件测试,单选题
517,在等价类划分法中，无效等价类表示什么？,所有正常和合法的输入,所有异常和非法的输入,边界值输入,典型值输入,,B,软件测试,单选题
518,边界值分析法通常作为哪种方法的补充？,因果图法,场景法,正交实验法,等价类划分法,,D,软件测试,单选题
519,下列哪种测试模型强调测试的独立性和灵活性？,V模型,W模型,H模型,瀑布模型,,C,软件测试,单选题
520,集成测试通常在哪个阶段进行？,编码之前,单元测试之后,系统测试之后,验收测试之后,,B,软件测试,单选题
521,下列哪种测试方法主要用于测试软件的非功能特性？,单元测试,集成测试,系统测试,验收测试,,C,软件测试,单选题
522,正交实验法的主要优点是什么？,覆盖所有可能的测试组合,从大量实验点中挑选出有代表性的点,只测试边界值,忽略无效输入,,B,软件测试,单选题
523,因果图法主要用于解决什么问题？,输入条件的组合,边界值测试,性能测试,安全性测试,,A,软件测试,单选题
524,下列哪种逻辑覆盖准则要求每个判断中每个条件的可能取值至少满足一次？,语句覆盖,判定覆盖,条件覆盖,路径覆盖,,C,软件测试,单选题
525,基本路径测试中，环形复杂度的计算方法不包括下列哪种？,流图中的区域数,E-N+2（E是边数，N是节点数）,P+1（P是判定节点数）,代码行数/10,,D,软件测试,单选题
526,回归测试的主要目的是什么？,测试新功能,确认修改没有引入新的错误,测试边界值,测试性能,,B,软件测试,单选题
527,下列哪种测试由最终用户执行？,单元测试,集成测试,系统测试,验收测试,,D,软件测试,单选题
528,场景法主要基于什么来设计测试用例？,程序代码,用户使用场景,边界值,等价类,,B,软件测试,单选题
529,下列哪项不是黑盒测试方法？,等价类划分,边界值分析,因果图法,语句覆盖,,D,软件测试,单选题
530,"在软件测试原则中，""杀虫剂现象""指的是什么？",测试用例越多越好,相同的测试用例重复使用会降低发现缺陷的能力,测试应该尽早进行,测试应该由独立团队进行,,B,软件测试,单选题
531,下列哪种测试主要检查代码和设计的一致性？,代码检查法,动态测试,性能测试,安全测试,,A,软件测试,单选题
532,程序插桩技术主要用于什么目的？,优化程序性能,了解程序执行时的动态特性,加密程序代码,压缩程序大小,,B,软件测试,单选题
533,下列哪项不是软件测试的分类维度？,按照时间阶段,按照是否运行程序,按照开发人员资历,按照是否查看源码,,C,软件测试,单选题
534,在决策表中，条件柱表示什么？,问题的所有条件,采取的动作,测试用例编号,预期结果,,A,结构化分析,单选题
535,下列哪种测试通常由编写该单元代码的开发人员执行？,单元测试,集成测试,系统测试,验收测试,,A,软件测试,单选题
536,W模型相对于V模型的主要改进是什么？,增加了风险分析,测试活动可以与开发活动并行进行,减少了测试阶段,取消了单元测试,,B,软件测试,单选题
537,下列哪项不是静态测试的方法？,代码审查,走查,静态结构分析,性能测试,,D,软件测试,单选题
538,"在因果图中，符号""^""表示什么关系？",恒等,非,或,与,,D,软件测试,单选题
539,下列哪项不是软件测试的基本原则？,完全测试是不可能的,测试中存在风险,测试可以证明软件没有缺陷,要避免杀虫剂现象,,C,软件测试,单选题
540,在正交表中，L4(2^3)表示什么？,4次实验，3个因素，每个因素2个水平,3次实验，4个因素，每个因素2个水平,2次实验，4个因素，每个因素3个水平,4次实验，2个因素，每个因素3个水平,,A,软件测试,单选题
541,下列哪种测试主要针对软件的安全性？,功能测试,性能测试,安全测试,兼容性测试,,C,软件测试,单选题
542,在软件测试流程中，测试用例设计属于哪个阶段？,分析测试需求,制定测试计划,设计测试用例,执行测试,,C,软件测试,单选题
543,下列哪项不是验收测试的类型？,α测试,β测试,γ测试,用户验收测试,,C,软件测试,单选题
544,可行性研究也称为()。,技术可行性研究,操作可行性研究,经济可行性研究,项目论证,,D,可行性分析,单选题
545,"()研究往往是系统开发过程中难度最大的工作,也是可行性研究的关键",技术可行性,操作可行性,经济可行性,风险可行性,,A,未分类,单选题
546,"以下敏捷开发方法中,()使用迭代的方法,把一段短的时间(如30天)的迭代称为一个冲刺,并按照需求优先级来实现产品。",极限编程(XP),水晶法(Crystal),并列争球法(Scrum),自适应软件开发(ASD),,C,未分类,单选题
547,下列说法中正确的是()。,20世纪50年代提出了软件工程的概念,20世纪60年代提出了软件工程的概念,20世纪70年代出现了客户机服务器技术,20世纪80年代软件工程学科达到成熟,,B,未分类,单选题
548,包含风险分析的软件过程模型是(),螺旋模型,瀑布模型,增量模型,喷泉模型,,A,未分类,单选题
549,瀑布模型的主要特点是()。,用户容易参与到开发活动中,易于处理可变需求,缺乏灵活性,用户与开发者沟通容易,,C,未分类,单选题
550,"在下列选项中,( )不属于软件工程学科所要研究的基本内容",软件工程材料,软件工程方法,软件工程原理,软件工程过程,,A,未分类,单选题
551,软件工程中描述生命周期的瀑布模型一般包括需求分析、设计、编码、( )、维护等几个阶段。,产品发布,版本更新,可行性分析,测试,,D,未分类,单选题
552,"以下关于增量模型优点的叙述中,不正确的是()",能够在较短的时间提交一个可用的产品系统,可以尽早让用户熟悉系统,"优先级高的功能首先交付,这些功能将接受更多的测试",系统的设计更加容易,,D,未分类,单选题
553,"以下关于快速原型模型优点的叙述中,不正确是()。",有助于满足用户的真实需求,适用于大型软件系统的开发,"开发人员快速开发出原型系统,因此可以加速软件开发过程,节约开发成本","原型系统已经通过与用户的交互得到验证,因此对应的规格说明文档能正确描述用户需求",,B,未分类,单选题
554,软件危机的主要表现是（ ）。,软件成本太高,软件产品的质量低劣,软件开发人员明显不足,软件生产率低下,,BD,软件工程概述,多选题
555,软件维护的类型有（ ）。,完善性维护,纠错性维护,适应性维护,预防性维护,,ABCD,软件过程,多选题
556,以下属于完善性维护的有（ ）。,解决开发是未能测试各种可能条件带来的问题,增加联机求助命令,缩短系统的应答时间，使其达到特定要求,为软件的运行增加监控设施,,BD,软件过程,多选题
557,软件维护阶段所产生的文档主要有（ ）。,软件问题报告,软件修改报告,软件修改申请报告,测试报告,,AB,软件过程,多选题
558,进行系统修改时可能会产生维护的副作用，它们可能有（ ）。,修改数据的副作用,修改错误后，又引入了新的错误,修改代码的副作用,文档资料的副作用,,ACD,软件过程,多选题
559,（ ）是选择合适的解决方案策略，并将系统划分成若干子系统，从而建立整个系统的体系结构；（ ）细化原有的分析对象，确定一些新的对象、对每一个子系统接口和类进行准确详细的说明。,系统设计,对象设计,数据库设计,用户界面设计,,AB,UML,多选题
560,软件设计的原则包括哪些？,模块化,抽象,逐步求精,信息隐藏,复用性原则,ABCDE,结构化设计,多选题
561,数据流图的基本符号包括（）。,外部实体,加工,数据存储,数据流,控制流,ABCD,结构化分析,多选题
562,E-R图的基本要素包括（）。,实体,属性,联系,方法,事件,ABC,结构化分析,多选题
563,数据字典中描述的内容包括（）。,数据流,数据存储,加工,数据元素,外部实体,ABCD,结构化分析,多选题
564,结构化分析方法中用于加工规格说明的工具包括（）。,结构化语言,判定表,判定树,流程图,伪代码,ABC,结构化分析,多选题
565,软件设计的基本原则包括哪些？,模块化,抽象,逐步求精,信息隐藏,面向过程,ABCD,结构化设计,多选题
566,概要设计阶段通常包括哪些设计内容？,体系结构设计,数据设计,接口设计,过程设计,算法设计,ABC,结构化设计,多选题
567,下列哪些属于耦合度较高（不理想）的耦合类型？,数据耦合,外部耦合,公共耦合,内容耦合,非直接耦合,BCD,结构化设计,多选题
568,下列哪些属于内聚度较高（理想）的内聚类型？,偶然内聚,逻辑内聚,功能内聚,顺序内聚,通信内聚,CDE,结构化设计,多选题
569,用于过程设计的图形工具有哪些？,程序流程图,N-S图（盒图）,PAD图,E-R图,数据流图,ABC,结构化设计,多选题
570,结构化分析方法使用的主要模型包括哪些？,功能模型（DFD）,数据模型（E-R图）,行为模型（状态转换图）,物理模型,对象模型,ABC,结构化分析,多选题
571,数据流图（DFD）的基本构成元素有哪些？,数据流,加工（处理）,数据存储,外部实体（源点/终点）,关系,ABCD,结构化分析,多选题
572,E-R图的基本要素包括？,实体,属性,联系（关系）,数据流,加工,ABC,结构化分析,多选题
573,数据字典中需要定义的内容有哪些？,数据流,数据存储,加工,数据项（数据元素）,外部实体,ABCD,结构化分析,多选题
574,用于编写加工规格说明的工具通常有？,结构化语言（伪码）,判定表,判定树,数据流图,E-R图,ABC,结构化分析,多选题
575,以下哪些属于可行性分析的内容？,战略可行性,操作可行性,技术可行性,经济可行性,社会可行性,ABCDE,可行性分析,多选题
576,耦合的类型包括哪些？,数据耦合,控制耦合,外部耦合,公共耦合,内容耦合,ABCDE,结构化设计,多选题
577,内聚的类型包括哪些？,功能内聚,顺序内聚,通信内聚,过程内聚,时间内聚,ABCDE,结构化设计,多选题
578,过程设计工具包括哪些？,程序流程图,N-S图,PAD图,PDL,数据流图,ABCD,结构化设计,多选题
579,总体设计说明书的内容包括哪些？,引言,任务概述,总体设计,接口设计,数据结构设计,ABCDE,可行性分析,多选题
580,以下哪些是UML 2.0中的图？,用例图,类图,数据流图,状态图,E-R图,ABD,UML,多选题
581,以下哪些是面向对象的基本特征？,封装,继承,多态,模块化,并发,ABC,面向对象方法,多选题
582,以下哪些是用例图中常见的关系？,关联关系,包含关系,扩展关系,泛化关系,实现关系,ABCD,UML,多选题
583,以下哪些是用例文档的组成部分？,前置条件,后置条件,基本事件流,扩展事件流,源代码,ABCD,UML,多选题
584,以下哪些是UML的视图？,用户视图,结构视图,行为视图,实现视图,环境视图,ABCDE,UML,多选题
585,面向对象的基本特征包括？,封装,继承,多态,抽象,过程调用,ABCD,面向对象方法,多选题
586,用例图的基本组成元素有哪些？,参与者 (Actor),用例 (Use Case),关系 (Relationship),系统边界 (System Boundary),类 (Class),ABCD,UML,多选题
587,用例之间的关系主要有哪几种？,包含关系 (<<include>>),扩展关系 (<<extend>>),泛化关系 (Generalization),聚合关系 (Aggregation),组合关系 (Composition),ABC,UML,多选题
588,UML的视图（View）包括哪些？,用户视图（用例视图）,结构视图（逻辑视图）,行为视图（过程视图）,实现视图,环境视图（部署视图）,ABCDE,UML,多选题
589,一份详细的用例文档通常包含哪些内容？,用例名称和编号,参与者,前置条件和后置条件,基本事件流和扩展事件流,具体的界面设计图,ABCD,UML,多选题
590,结构化分析方法中常用的图形工具有（）。,数据流图,实体关系图,状态转换图,层次方框图,Warnier图,ABCDE,结构化分析,多选题
591,经济可行性分析中的成本包括（）。,软硬件购置成本,开发成本,运行维护成本,人员培训成本,社会效益成本,ABCD,可行性分析,多选题
592,需求获取的方法包括（）。,调查问卷,用户交谈,小组专题讨论会,竞品分析,原型演示,ABCDE,需求分析,多选题
593,非功能需求包括（）。,性能需求,质量需求,对外接口,约束,用户管理功能,ABCD,需求分析,多选题
594,需求工程包括以下哪些活动？,需求获取,需求分析,需求规格说明,需求验证,需求管理,ABCDE,需求分析,多选题
595,可行性研究通常包括以下哪些方面？,经济可行性,技术可行性,操作可行性,社会可行性,代码可行性,ABCD,可行性分析,多选题
596,需求开发过程包括哪些主要活动？,需求获取,需求分析,需求规格说明书,需求验证,需求变更,ABCD,需求分析,多选题
597,非功能性需求可以分为哪几类？,性能需求,质量属性,对外接口,约束,业务流程,ABCD,需求分析,多选题
598,常见的需求获取方法有哪些？,调查问卷,用户访谈,竞品分析,原型法,单元测试,ABCD,需求分析,多选题
599,经济可行性分析中的成本包括哪些？,开发成本,运行和维护成本,软硬件购置成本,人员培训成本,社会效益,ABCD,可行性分析,多选题
600,下列哪些是软件的特点？,软件是逻辑实体,软件会磨损,软件是复杂的,软件依赖计算机系统,软件开发是人工方式,ACDE,软件工程概述,多选题
601,下列哪些是软件过程模型？,瀑布模型,螺旋模型,快速原型模型,增量模型,喷泉模型,ABCDE,软件过程,多选题
602,下列哪些是敏捷开发方法？,Scrum,XP,Crystal,FDD,DSDM,ABCDE,软件过程,多选题
603,下列哪些是软件工程的工具？,Git,JUnit,StarUML,Axure,禅道,ABCDE,软件工程概述,多选题
604,下列哪些是软件生命周期中的角色？,产品经理,开发工程师,测试工程师,运维工程师,UI工程师,ABCDE,软件过程,多选题
605,以下哪些属于软件生命周期的基本阶段？,需求分析,软件设计,编码,软件测试,软件维护,ABCDE,软件过程,多选题
606,敏捷开发宣言强调的价值观包括？,个体和交互胜过过程和工具,可以工作的软件胜过面面俱到的文档,客户合作胜过合同谈判,响应变化胜过遵循计划,严格的管理胜过灵活的调整,ABCD,软件过程,多选题
607,以下哪些属于软件过程模型？,瀑布模型,螺旋模型,TCP/IP模型,增量模型,OSI七层模型,ABD,软件过程,多选题
608,Scrum框架包含哪些核心角色？,产品负责人 (Product Owner),测试工程师,Scrum主管 (Scrum Master),Scrum团队 (Scrum Team),项目经理,ACD,软件过程,多选题
609,软件维护的类型包括？,改正性维护,适应性维护,完善性维护,预防性维护,破坏性维护,ABCD,软件过程,多选题
610,下列哪些属于UML动态建模的图？,状态图,活动图,顺序图,类图,组件图,ABC,UML,多选题
611,下列哪些是状态图的组成元素？,状态,迁移,事件,泳道,同步条,ABC,UML,多选题
612,下列哪些是类图之间的关系？,泛化关系,依赖关系,关联关系,实现关系,包含关系,ABCD,UML,多选题
613,下列哪些是顺序图中的消息类型？,同步消息,异步消息,返回消息,创建消息,自关联消息,ABCDE,UML,多选题
614,下列哪些是活动图的组成元素？,活动,转移,判定,同步条,泳道,ABCDE,UML,多选题
615,UML中的架构模型通常包括哪些图？,包图,组件图,部署图,类图,用例图,ABC,UML,多选题
616,类图中的关系有哪些？,泛化关系,依赖关系,关联关系,实现关系,包含关系,ABCD,UML,多选题
617,UML动态建模主要使用哪些图来表示？,状态图,活动图,顺序图,类图,通信图,ABCE,UML,多选题
618,顺序图中的消息类型可以分为？,同步消息,异步消息,返回消息,创建对象消息,广播消息,ABCD,UML,多选题
619,在活动图中，可以用来表示并发的元素有？,判定节点,分支（Fork）,合并（Join）,泳道,同步条,BCE,UML,多选题
620,软件测试可以按照哪些不同的角度进行分类？,按照时间阶段,按照是否运行程序,按照是否查看源码,按照质量因素,按照开发人员,ABCD,软件测试,多选题
621,下列哪些属于黑盒测试方法？,等价类划分法,边界值分析法,基本路径测试,决策表法,逻辑覆盖,ABD,软件测试,多选题
622,下列哪些属于白盒测试方法？,逻辑覆盖,基本路径测试,代码检查法,等价类划分法,场景法,ABC,软件测试,多选题
623,逻辑覆盖方法包括以下哪些类型？,语句覆盖,判定覆盖,条件覆盖,路径覆盖,边界值覆盖,ABCD,软件测试,多选题
624,以下哪些是软件测试的基本原则？,完全测试是不可能的,测试只能证明缺陷存在，不能证明没有缺陷,开发小组和测试小组应该分立,尽早并不断地进行测试,测试用例只包含合法输入情况,ABCD,软件测试,多选题
625,下列哪些属于黑盒测试方法？,等价类划分,边界值分析,因果图法,决策表法,场景法,ABCDE,软件测试,多选题
626,下列哪些属于白盒测试的逻辑覆盖准则？,语句覆盖,判定覆盖,条件覆盖,路径覆盖,条件组合覆盖,ABCDE,软件测试,多选题
627,下列哪些测试属于按照时间阶段的测试分类？,单元测试,集成测试,系统测试,验收测试,回归测试,ABCD,软件测试,多选题
628,下列哪些是软件测试的重要原则？,完全测试是不可能的,测试应尽早进行,缺陷集群性,杀虫剂悖论,测试显示缺陷的存在,ABCDE,软件测试,多选题
629,下列哪些属于系统测试的范畴？,功能测试,性能测试,安全测试,兼容性测试,可用性测试,ABCDE,软件测试,多选题
630,下列哪些属于可行性分析的内容,操作可行性,经济可行性,法律可行性,社会可行性,风险可行性,ABDE,未分类,多选题
631,UML是一种程序设计语言。,正确,错误,,,,B,UML,判断题
632,状态图表示对象在不同状态之间的转换过程。,正确,错误,,,,A,UML,判断题
633,用例建模只适用于软件系统。,正确,错误,,,,B,UML,判断题
634,部署图表示系统的物理设备配置。,正确,错误,,,,A,UML,判断题
635,用例文档中的基本事件流必须描述所有可能的异常情况。,正确,错误,,,,B,UML,判断题
636,UML是一种可视化的程序设计语言。,正确,错误,,,,B,UML,判断题
637,在用例图中，一个参与者只能与一个用例相关联。,正确,错误,,,,B,UML,判断题
638,一个用例必须至少有一个参与者与它相关联。,正确,错误,,,,A,UML,判断题
639,用例描述中应避免使用“连接数据库”、“传送SQL语句”等技术语言。,正确,错误,,,,A,UML,判断题
640,一个“类”是“对象”的一个具体实例。,正确,错误,,,,B,面向对象方法,判断题
641,在用例文档中，前置条件是系统无法检测的。,正确,错误,,,,B,UML,判断题
642,用例建模过程只需要绘制用例图即可。,正确,错误,,,,B,UML,判断题
